Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
34	0.83505154	0.371134	1.0	0.0	1.0	0.0	1.0	1.0	2.5670104	2.8	8500	0.73150927	0.26692885	1.7557501	-0.48999923	0.7313521	0.26701623	1.825256	-0.29801914	5.8483214	-6.0	0.0016018833	-0.755276	0.0045824633	0.004469994	-0.97755796	10244.00681591034
35	0.86315787	0.34368056	1.0	0.0	0.8	0.40000004	1.0	0.0	2.6421053	6.2	8750	0.7365162	0.26862293	1.6283162	-0.27596515	0.7366162	0.26887453	1.7132914	-0.35139582	6.1931424	-6.0	0.0016166203	-0.7628231	0.0040417314	0.004018908	1.2454978	10592.004627227783
36	0.875	0.3307189	1.0	0.0	1.0	0.0	1.0	1.0	3.1375	1.8	9000	0.7434528	0.27131373	1.7534097	-0.34672862	0.7434327	0.27115148	1.8150289	-0.38226274	6.052779	-6.0	0.0017777857	-0.7744639	0.003410698	0.003362543	0.33652264	10881.813164710999
37	0.8795181	0.32552424	1.0	0.0	1.0	0.0	1.0	1.0	2.7831326	3.0	9250	0.74335253	0.27200335	1.7637414	-0.35380787	0.7434333	0.27231354	1.7658024	-0.47966966	6.043324	-6.0	0.0017887935	-0.7702639	0.003683234	0.0035479956	0.27503052	11183.693403244019
38	0.87356323	0.332341	1.0	0.0	0.6	0.48989794	1.0	0.0	3.0	4.6	9500	0.74667764	0.26989627	1.8167788	-0.3695655	0.74674004	0.27059656	1.8003442	-0.31322926	5.901123	-6.0	0.0017352772	-0.7742865	0.0037175135	0.0034389868	-0.62577087	11489.48525094986
39	0.8313253	0.37446433	1.0	0.0	0.8	0.40000004	1.0	0.0	3.1084337	5.8	9750	0.7392515	0.27384123	1.7712306	-0.4813287	0.73943496	0.27338597	1.7138642	-0.39525354	6.008478	-6.0	0.0017034123	-0.7692344	0.0036166874	0.0036968088	0.055052277	11798.885530948639
40	0.8041237	0.3968737	1.0	0.0	0.6	0.48989794	1.0	0.0	2.5670104	2.0	10000	0.7439136	0.27050844	1.8480296	-0.36137423	0.7436111	0.27054182	1.8184114	-0.4088117	5.8863163	-6.0	0.0016137979	-0.77151877	0.0040526153	0.00409733	-0.7274495	12135.947160959244
41	0.84782606	0.35918936	1.0	0.0	0.8	0.4	1.0	0.0	2.6304348	2.2	10250	0.752213	0.26464733	1.839445	-0.43005764	0.7524359	0.26525855	1.8975644	-0.35105705	6.1195135	-6.0	0.0016732332	-0.7794121	0.0040080436	0.0038496319	0.76766545	12444.004519224167
42	0.8235294	0.38122004	1.0	0.0	1.0	0.0	1.0	1.0	3.0470588	2.6	10500	0.7552776	0.26073784	1.8781159	-0.4294674	0.7552869	0.2602187	1.9503534	-0.42739308	5.9858336	-6.0	0.0017031587	-0.7807589	0.003847185	0.0038417478	-0.08928194	12748.963073730469
43	0.88461536	0.31948555	1.0	0.0	0.8	0.4	1.0	0.0	3.2051282	3.2	10750	0.7515204	0.26514617	1.9043343	-0.53900474	0.7513735	0.26597235	1.9504174	-0.42323092	5.960094	-6.0	0.0017077806	-0.7802153	0.0039912886	0.004002263	-0.25423694	13042.013540267944
