Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
35	0.84210527	0.36464232	1.0	0.0	0.95	0.21794493	1.0	0.0	6.236842	4.3	8750	0.28166932	0.31265953	1.3321251	-0.19050182	0.28169364	0.31286597	1.3951561	-0.21200272	0.13374697	0.16094379	0.00090935244	-0.3335225	0.0009029529	0.0008530476	0.1903476	361.13958621025085
36	0.92156863	0.2688492	1.0	0.0	0.65	0.4769696	1.0	0.0	5.2156863	4.7	9000	0.28615007	0.31461823	1.5128541	-0.14298794	0.28615674	0.3146209	1.5023429	-0.23023076	0.13110267	0.16094379	0.0012319741	-0.33660233	0.0007284797	0.0007316666	0.1999033	370.6969618797302
37	0.902439	0.29672012	1.0	0.0	0.8	0.4	1.0	0.0	5.8292685	4.9	9250	0.29068205	0.31725478	1.3385154	-0.15333903	0.29065987	0.31722966	1.3865476	-0.1881455	0.13201813	0.16094379	0.0016671553	-0.34179813	0.00071208214	0.0007207457	0.18499395	380.21310687065125
38	0.82608694	0.3790347	1.0	0.0	0.8	0.4	1.0	0.0	5.673913	6.2	9500	0.28937986	0.31583843	1.4022727	-0.18262619	0.28941497	0.31584716	1.3892093	-0.19922046	0.12631491	0.16094379	0.0023076097	-0.3396587	0.00080215523	0.0007982098	0.21036124	389.9557101726532
39	0.8235294	0.38122004	1.0	0.0	0.75	0.4330127	1.0	0.0	4.901961	4.25	9750	0.28953236	0.31668702	1.3794869	-0.19840637	0.2894604	0.31678703	1.4171242	-0.13124737	0.12733392	0.16094379	0.00326154	-0.3375057	0.00082229864	0.000772448	0.19285463	399.40906047821045
40	0.8636364	0.3431743	1.0	0.0	0.9	0.29999998	1.0	0.0	5.75	5.3	10000	0.29036558	0.3146729	1.3121809	-0.14170823	0.29038298	0.3147751	1.3226256	-0.13237894	0.12948588	0.16094379	0.004501879	-0.34086445	0.0007643929	0.0007283711	0.17052661	409.0625674724579
41	0.9268293	0.26041654	1.0	0.0	0.85	0.35707143	1.0	0.0	6.0487804	5.95	10250	0.29287767	0.31521916	1.3573442	-0.12932184	0.29289672	0.31533095	1.3541112	-0.12557018	0.1259294	0.16094379	0.0061458475	-0.34194365	0.0007519562	0.0007251608	0.17858724	418.79854798316956
42	0.8367347	0.36960757	1.0	0.0	0.8	0.4	1.0	0.0	5.0612245	7.35	10500	0.293688	0.31645218	1.2312603	-0.17826386	0.293646	0.31654698	1.2437572	-0.1397368	0.13085517	0.16094379	0.008341406	-0.3437076	0.0006906857	0.0006666344	0.14399618	428.7567915916443
43	0.88372093	0.32055926	1.0	0.0	0.9	0.29999998	1.0	0.0	5.860465	4.5	10750	0.29998744	0.32037073	1.2055078	-0.1744828	0.2999975	0.32049483	1.2158573	-0.13785219	0.13412671	0.16094379	0.011167008	-0.34682843	0.0007174172	0.0006826501	0.1209098	438.24368929862976
44	0.8292683	0.37627435	1.0	0.0	0.9	0.29999998	1.0	0.0	5.634146	6.25	11000	0.2941955	0.31799638	1.2182497	-0.16044939	0.29420218	0.3180047	1.2132803	-0.24503309	0.14921404	0.16094379	0.013597759	-0.34173277	0.0007301965	0.000743836	0.05066631	448.0976450443268
45	0.9111111	0.2845833	1.0	0.0	0.9	0.29999998	1.0	0.0	5.977778	5.35	11250	0.30226004	0.32225117	1.3107266	-0.18650484	0.3022614	0.32233354	1.2510133	-0.16697626	0.15869258	0.16094379	0.0145978	-0.35025042	0.00068902323	0.0006772215	0.009583351	457.9262104034424
46	0.9047619	0.29354352	1.0	0.0	0.85	0.35707143	1.0	0.0	5.9761906	4.8	11500	0.30367687	0.32194552	1.217873	-0.1963881	0.3037238	0.3218592	1.2446642	-0.1860203	0.16954641	0.16094379	0.0141555555	-0.35019025	0.0006767707	0.00067079125	-0.036751937	467.5081903934479
47	0.9347826	0.24690905	1.0	0.0	0.95	0.21794495	1.0	0.0	5.326087	5.55	11750	0.30275294	0.31970385	1.3586977	-0.1777333	0.30275193	0.31978425	1.2800581	-0.20471463	0.1796799	0.16094379	0.012115976	-0.34868163	0.00075179123	0.00074341823	-0.08268718	477.16505885124207
48	0.88372093	0.3205593	1.0	0.0	0.95	0.21794495	1.0	0.0	5.4418607	5.45	12000	0.3039389	0.32031757	1.315353	-0.13178927	0.30390587	0.32030964	1.3301145	-0.19130617	0.17188583	0.16094379	0.0105224075	-0.3526209	0.00066062546	0.0006659014	-0.0499087	486.86481952667236
49	0.90909094	0.2874798	1.0	0.0	0.95	0.21794495	1.0	0.0	6.1136365	7.05	12250	0.30533564	0.32062012	1.3343525	-0.14057964	0.30533737	0.32062554	1.2828716	-0.11163825	0.16664682	0.16094379	0.009485239	-0.35214275	0.00069566525	0.000679201	-0.0264763	496.9267199039459
50	0.9268293	0.26041654	1.0	0.0	0.95	0.21794493	1.0	0.0	5.97561	4.95	12500	0.30475068	0.3193964	1.4225601	-0.12443296	0.30473933	0.31929925	1.4079827	-0.124412745	0.16014935	0.16094379	0.009307512	-0.3494104	0.0006666571	0.000702473	0.0037417635	506.5998182296753
51	0.8684211	0.33803242	1.0	0.0	0.9	0.29999998	1.0	0.0	6.6842103	5.8	12750	0.30718017	0.32262775	1.2731633	-0.12436274	0.3071338	0.3227644	1.2485301	-0.13286754	0.15767133	0.16094379	0.009485452	-0.35190722	0.0006909646	0.00067589735	0.0152542265	516.3005559444427
52	0.8695652	0.33678114	1.0	0.0	0.75	0.4330127	1.0	0.0	5.3913045	5.05	13000	0.3047766	0.3195375	1.1880099	-0.13001278	0.30480698	0.31954318	1.2558744	-0.17801592	0.16506629	0.16094379	0.0094365105	-0.3499534	0.0007219259	0.00069443096	-0.019163495	525.6418602466583
