Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
59	0.8947368	0.3068922	1.0	0.0	1.0	0.0	1.0	1.0	6.605263	6.8	14750	3.528795	6.338408	1.725018	-0.35219067	0.00016801398	0.1	18019.02480173111
60	0.8333333	0.37267798	1.0	0.0	0.6	0.48989794	1.0	0.0	5.904762	3.2	15000	3.5301156	6.3407907	1.7944455	-0.38962823	0.000248759	0.1	18311.649697065353
61	0.9268293	0.26041654	1.0	0.0	0.8	0.4	1.0	0.0	6.121951	6.0	15250	3.5175698	6.3188066	1.8669856	-0.39414605	0.00023577223	0.1	18620.434159994125
62	0.8717949	0.3343181	1.0	0.0	1.0	0.0	1.0	1.0	6.3846154	4.6	15500	3.5093267	6.304615	1.7999011	-0.38628632	0.00020121959	0.1	18920.034883499146
63	0.92105263	0.2696566	1.0	0.0	1.0	0.0	1.0	1.0	6.5526314	5.6	15750	3.5051157	6.2966413	1.7279109	-0.4308549	0.00018574689	0.1	19223.659558057785
64	0.8863636	0.3173691	1.0	0.0	1.0	0.0	1.0	1.0	5.568182	6.0	16000	3.4908824	6.2717643	1.7024466	-0.42466116	0.00023793215	0.1	19530.459433317184
65	0.8974359	0.30338874	1.0	0.0	1.0	0.0	1.0	1.0	6.4102564	5.4	16250	3.4840536	6.2599525	1.6856611	-0.4005729	0.00019707614	0.1	19834.05237174034
66	0.95	0.21794495	1.0	0.0	0.6	0.48989794	1.0	0.0	6.3	4.8	16500	3.503795	6.2951283	1.7848511	-0.3937282	0.00019691761	0.1	20130.741428613663
67	0.875	0.3307189	1.0	0.0	1.0	0.0	1.0	1.0	6.275	4.4	16750	3.523132	6.3299127	1.7139609	-0.38310283	0.0001729357	0.1	20426.054346084595
68	0.9722222	0.16433555	1.0	0.0	1.0	0.0	1.0	1.0	6.888889	6.2	17000	3.5199385	6.324615	1.8300539	-0.33979803	0.00017875263	0.1	20728.750694990158
69	0.8666667	0.33993468	1.0	0.0	0.8	0.40000004	1.0	0.0	5.577778	5.8	17250	3.5256543	6.334508	1.619626	-0.38122413	0.00017230805	0.1	21041.087020874023
70	0.88372093	0.32055926	1.0	0.0	1.0	0.0	1.0	1.0	5.7906976	7.0	17500	3.5385878	6.356907	1.7393956	-0.336639	0.0001811153	0.1	21364.30262708664
