Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
38	0.9611651	0.19320148	1.0	0.0	1.0	0.0	1.0	1.0	2.4368932	2.0	9500	0.78818727	0.18364024	1.2503953	-0.33916053	0.788229	0.18404824	1.2193782	-0.31882194	6.0941215	-6.0	0.0004977963	-0.84034944	0.0017751611	0.0016270039	0.7156801	623.8525791168213
39	0.95348835	0.21059036	1.0	0.0	0.95	0.21794495	1.0	0.0	1.9379845	2.05	9750	0.79087436	0.18292315	1.2121594	-0.4234658	0.79082775	0.18358709	1.3088369	-0.29810953	6.0748854	-6.0	0.0005488541	-0.84491146	0.0017026219	0.0015922494	0.56368387	637.4855964183807
40	0.95238096	0.21295886	1.0	0.0	1.0	0.0	1.0	1.0	1.9841269	1.6	10000	0.79904336	0.1777131	1.2146971	-0.34426942	0.7991751	0.178096	1.2121371	-0.3523379	5.87017	-6.0	0.0005348343	-0.8514511	0.0016196456	0.0014428224	-0.9772619	651.1620316505432
41	0.95238096	0.21295884	1.0	0.0	1.0	0.0	1.0	1.0	1.9761904	1.9	10250	0.80637574	0.17740874	1.1717743	-0.4611709	0.8064525	0.17781422	1.2264991	-0.3162104	6.07251	-6.0	0.00051687827	-0.85895705	0.001537302	0.0014311154	0.54950804	664.8226366043091
42	0.9831933	0.12854668	1.0	0.0	1.0	0.0	1.0	1.0	2.1092436	1.95	10500	0.8120523	0.1771739	1.1538115	-0.5061086	0.81206644	0.17678648	1.2174911	-0.33423322	6.0466485	-6.0	0.00055349554	-0.86382926	0.0013297858	0.001452353	0.35140416	678.4027216434479
43	0.97619045	0.15245534	1.0	0.0	0.95	0.21794493	1.0	0.0	1.9841269	2.3	10750	0.8232964	0.17116022	1.1802338	-0.43051097	0.8233109	0.17155975	1.1673503	-0.38844463	6.084675	-6.0	0.0005910921	-0.87207055	0.0012712613	0.0012398274	0.63208246	693.3984706401825
44	0.992126	0.088385604	1.0	0.0	1.0	0.0	1.0	1.0	1.9606299	2.2	11000	0.82705516	0.17042416	1.179024	-0.4180799	0.8271821	0.17024496	1.1602267	-0.49529922	5.9694996	-6.0	0.000598796	-0.8757151	0.0014745079	0.00134069	-0.225339	706.9256694316864
45	0.98275864	0.13016956	1.0	0.0	0.95	0.21794493	1.0	0.0	2.163793	1.9	11250	0.8331485	0.16894183	1.1408607	-0.7249685	0.83311915	0.1690791	1.1531769	-0.39920425	6.1227107	-6.0	0.0006180854	-0.88235974	0.0013154914	0.001294164	0.9078377	720.3596904277802
46	0.96	0.19595918	1.0	0.0	1.0	0.0	1.0	1.0	1.984	1.9	11500	0.8382173	0.16258124	1.1745714	-0.2718328	0.8382911	0.16225727	1.1810733	-0.6073525	5.9106784	-6.0	0.000648517	-0.8829718	0.0014562303	0.0014841238	-0.65724766	733.6931984424591
47	0.96850395	0.17465413	1.0	0.0	0.95	0.21794493	1.0	0.0	1.976378	1.8	11750	0.8397735	0.16151577	1.1675551	-0.37418294	0.839676	0.16262665	1.2576203	-0.37271672	5.979876	-6.0	0.0005932578	-0.88595057	0.0014319465	0.0013114054	-0.1485006	747.2888071537018
48	0.9758065	0.15364966	1.0	0.0	0.95	0.21794493	1.0	0.0	2.0080645	1.85	12000	0.8422905	0.1624838	1.1975682	-0.4061154	0.84236926	0.16297613	1.1509342	-0.41954035	5.9086375	-6.0	0.0005598389	-0.88491136	0.0013853622	0.0013228302	-0.68169725	761.0114352703094
49	0.972973	0.16216217	1.0	0.0	0.95	0.21794495	1.0	0.0	1.6891892	2.1	12250	0.8468683	0.16402291	1.1468564	-0.33594212	0.8468881	0.16346511	1.1424339	-0.38403955	5.976573	-6.0	0.0005317063	-0.8932638	0.0010598088	0.0010937513	-0.17529611	774.9621036052704
50	0.99248123	0.0863844	1.0	0.0	1.0	0.0	1.0	1.0	1.8947369	1.75	12500	0.8520405	0.15861136	1.1804953	-0.32436526	0.85211635	0.1588264	1.1616181	-0.43164504	6.003544	-6.0	0.00054606254	-0.8958341	0.0011413536	0.0010288748	0.027446473	788.4590799808502
51	0.9785714	0.14480811	1.0	0.0	1.0	0.0	1.0	1.0	1.7857143	1.9	12750	0.85103893	0.16543156	1.1747043	-0.31267017	0.85117203	0.16572951	1.1428287	-0.2752139	6.0132403	-6.0	0.0005183736	-0.8963248	0.0012350805	0.0011264265	0.10088733	800.820389509201
52	0.9705882	0.16895773	1.0	0.0	1.0	0.0	1.0	1.0	1.8308823	1.85	13000	0.855236	0.1647701	1.1115369	-0.36031213	0.85527855	0.16428515	1.1478431	-0.31661704	6.0785823	-6.0	0.00057625637	-0.8997813	0.0010377053	0.0010625337	0.589656	813.4353983402252
53	0.9767442	0.15071489	1.0	0.0	1.0	0.0	1.0	1.0	1.9379845	1.55	13250	0.85751295	0.16125517	1.1401612	-0.2608139	0.85745025	0.16102476	1.1589925	-0.30926275	6.060291	-6.0	0.00058782415	-0.8983943	0.0011356592	0.0012042508	0.44882464	825.8668868541718
54	0.9930556	0.08304348	1.0	0.0	1.0	0.0	1.0	1.0	1.7430556	1.65	13500	0.85925233	0.1626965	1.1050494	-0.30427647	0.859333	0.16145281	1.1279213	-0.30590034	5.9288263	-6.0	0.0005903698	-0.90017897	0.0010108241	0.0011292766	-0.5271466	838.6639342308044
55	0.98550725	0.11951031	1.0	0.0	1.0	0.0	1.0	1.0	1.8115942	2.0	13750	0.8577522	0.16185646	1.1918639	-0.257281	0.8577366	0.16185942	1.1251501	-0.31789535	6.1228757	-6.0	0.0005990334	-0.89642113	0.0010025838	0.0010179695	0.91222155	851.3600559234619
56	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.983871	1.95	14000	0.85844153	0.16160099	1.1210597	-0.46514726	0.8584393	0.1617809	1.1024417	-0.2432033	5.956947	-6.0	0.00063693046	-0.9017154	0.000907542	0.0008462049	-0.3161522	863.8509376049042
57	0.9863946	0.11584618	1.0	0.0	1.0	0.0	1.0	1.0	1.7278912	1.7	14250	0.8697045	0.15196744	1.1754756	-0.27693808	0.8698352	0.15233807	1.138107	-0.25704235	5.857504	-6.0	0.0005861464	-0.90827954	0.00086269056	0.00078448537	-1.0595353	876.499308347702
58	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.7971015	1.5	14500	0.8687296	0.1603276	1.1304432	-0.2569963	0.86873025	0.16009226	1.1060473	-0.31328464	6.02764	-6.0	0.00055082917	-0.9103113	0.0007502301	0.0007703036	0.20829892	888.9618747234344
59	0.99248123	0.08638439	1.0	0.0	1.0	0.0	1.0	1.0	1.8947369	1.8	14750	0.87381727	0.1570651	1.1317551	-0.26929545	0.87382156	0.15714389	1.1143588	-0.30278397	6.1122622	-6.0	0.00055997993	-0.912743	0.00094234524	0.0009474002	0.83641917	901.436722278595
60	0.9929578	0.08362213	1.0	0.0	1.0	0.0	1.0	1.0	1.7535211	1.8	15000	0.8749524	0.15499534	1.1222154	-0.22122157	0.8751014	0.15344402	1.1016904	-0.573209	6.0286136	-6.0	0.00063547184	-0.91345423	0.0008068011	0.0009873889	0.21212423	913.6830649375916
61	0.9716312	0.1660241	1.0	0.0	1.0	0.0	1.0	1.0	1.7730496	1.65	15250	0.87984735	0.15152216	1.1665646	-0.27427813	0.87977886	0.15139626	1.1618593	-0.3890988	5.904916	-6.0	0.0005891504	-0.9191267	0.00074675423	0.00081738486	-0.70191073	926.1860268115997
62	0.9655172	0.1824656	1.0	0.0	1.0	0.0	1.0	1.0	1.7310345	1.55	15500	0.88028723	0.15352666	1.0960758	-0.38817483	0.88038474	0.15320066	1.1093608	-0.2773654	6.0353765	-6.0	0.0006121838	-0.9186467	0.0007525412	0.0007438683	0.2637929	938.7577774524689
63	0.9797297	0.14092332	1.0	0.0	1.0	0.0	1.0	1.0	1.6891892	1.95	15750	0.88070494	0.14931634	1.286656	-0.44807538	0.8807355	0.14954244	1.1194417	-0.26223692	6.0193496	-6.0	0.00060558866	-0.9162759	0.0011915808	0.001112324	0.14474255	951.2920308113098
64	0.9861111	0.11702985	1.0	0.0	1.0	0.0	1.0	1.0	1.7361112	1.8	16000	0.88136667	0.15170532	1.1134728	-0.4966314	0.88140893	0.15210709	1.1500499	-0.4171134	6.029004	-6.0	0.00061346864	-0.9160691	0.0011609574	0.0010779164	0.215731	963.6483955383301
65	0.97931033	0.14234322	1.0	0.0	1.0	0.0	1.0	1.0	1.7241379	1.65	16250	0.8836107	0.15372844	1.1229501	-0.23541796	0.88356423	0.15474479	1.1218402	-0.29907197	5.921001	-6.0	0.0006251397	-0.91999733	0.0010523114	0.00091636356	-0.5835404	976.0754308700562
