Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Actor Noise	Time
53	0.20171674	0.4012818	1.0	0.0	0.1	0.29999998	1.0	0.0	1.0729613	1.0	13250	0.5632022	0.5632212	-0.5186508	0.0047887145	0.05	412.97853207588196
54	0.25	0.4330127	1.0	0.0	0.2	0.4	1.0	0.0	1.0775862	1.0	13500	0.56206596	0.56201726	-0.52479166	0.006068267	0.05	421.34932112693787
55	0.23376623	0.42322522	1.0	0.0	0.2	0.4	1.0	0.0	1.0822511	1.1	13750	0.5658695	0.56590575	-0.5267793	0.0060246526	0.05	428.68865442276
56	0.30396476	0.4599676	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0969163	1.05	14000	0.56625384	0.566289	-0.52412254	0.0047014276	0.05	436.85031604766846
57	0.3	0.45825756	1.0	0.0	0.3	0.4582576	1.0	0.0	1.0913043	1.05	14250	0.56229204	0.5623088	-0.52691096	0.0059213657	0.05	444.0268359184265
58	0.27510917	0.44656926	1.0	0.0	0.15	0.35707143	1.0	0.0	1.091703	1.0	14500	0.5675294	0.56749856	-0.53199923	0.0039837286	0.05	452.34192514419556
59	0.33333334	0.47140452	1.0	0.0	0.2	0.4	1.0	0.0	1.0548524	1.15	14750	0.55794424	0.55797863	-0.5272968	0.0030407812	0.05	459.82608819007874
60	0.2300885	0.4208893	1.0	0.0	0.25	0.4330127	1.0	0.0	1.1061947	1.05	15000	0.56892216	0.56898063	-0.5398762	0.004976688	0.05	468.23689222335815
61	0.2888889	0.45324615	1.0	0.0	0.3	0.4582576	1.0	0.0	1.1111112	1.0	15250	0.5549329	0.55489904	-0.51462215	0.0039378135	0.05	475.42994689941406
62	0.21982759	0.41412973	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0775862	1.05	15500	0.5548237	0.5548341	-0.53833103	0.004222414	0.05	483.92420840263367
63	0.26106194	0.43921366	1.0	0.0	0.3	0.4582576	1.0	0.0	1.1061947	1.05	15750	0.54789424	0.54796636	-0.51094794	0.0041577606	0.05	491.19085335731506
64	0.27310926	0.44555652	1.0	0.0	0.4	0.48989797	1.0	0.0	1.0504202	1.15	16000	0.5655128	0.565462	-0.53628266	0.0054179206	0.05	499.88134813308716
65	0.24675325	0.4311219	1.0	0.0	0.3	0.4582576	1.0	0.0	1.0822511	1.25	16250	0.5657259	0.56573033	-0.5424646	0.004292718	0.05	507.36956810951233
66	0.24786325	0.431772	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0683761	1.05	16500	0.5653671	0.5654069	-0.5365387	0.0040206807	0.05	515.7277154922485
67	0.2850877	0.45145622	1.0	0.0	0.3	0.4582576	1.0	0.0	1.0964912	1.1	16750	0.5639762	0.5639092	-0.53562975	0.0031441324	0.05	523.0727949142456
68	0.24050634	0.42739096	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0548524	1.1	17000	0.5716116	0.5716455	-0.5365838	0.0037076676	0.05	531.5369799137115
69	0.3004292	0.4584446	1.0	0.0	0.2	0.4	1.0	0.0	1.0729613	1.0	17250	0.55853236	0.55855715	-0.5289333	0.0042686895	0.05	538.935046672821
70	0.19480519	0.39605066	1.0	0.0	0.4	0.48989797	1.0	0.0	1.0822511	1.1	17500	0.5505724	0.55054796	-0.5240689	0.0042805118	0.05	547.3391659259796
71	0.18803419	0.39073947	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0683761	1.25	17750	0.5678931	0.5679314	-0.54197025	0.0046601444	0.05	554.8190939426422
72	0.23404256	0.4233989	1.0	0.0	0.0	0.0	0.0	0.0	1.0638298	1.15	18000	0.5660785	0.5660704	-0.52682847	0.0036636854	0.05	563.2515280246735
73	0.2290749	0.4202375	1.0	0.0	0.3	0.4582576	1.0	0.0	1.1013216	1.05	18250	0.5549032	0.5548671	-0.5185203	0.0026369041	0.05	570.5222432613373
74	0.25877193	0.43796012	1.0	0.0	0.05	0.21794493	1.0	0.0	1.0964912	1.05	18500	0.5545712	0.5545839	-0.5279778	0.0039137187	0.05	579.053952217102
75	0.2079646	0.40585136	1.0	0.0	0.3	0.4582576	1.0	0.0	1.1061947	1.0	18750	0.5565819	0.5565572	-0.5376098	0.0033742732	0.05	586.2389414310455
76	0.2034632	0.40257415	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0822511	1.05	19000	0.56758606	0.56761545	-0.5450199	0.0028115462	0.05	594.75657081604
77	0.22173913	0.4154165	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0869565	1.0	19250	0.5557656	0.55575144	-0.5330327	0.0033575986	0.05	602.0042271614075
78	0.22077923	0.41477197	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0822511	1.1	19500	0.55903566	0.55906117	-0.53569955	0.0040749526	0.05	610.1105072498322
79	0.3125	0.4635124	1.0	0.0	0.4	0.48989797	1.0	0.0	1.1160715	1.1	19750	0.57288253	0.572906	-0.55042404	0.0036944835	0.05	617.4169867038727
80	0.29596412	0.45647493	1.0	0.0	0.2	0.4	1.0	0.0	1.1210762	1.1	20000	0.57175535	0.57174355	-0.5405489	0.00347984	0.05	625.7907311916351
81	0.2672414	0.44251943	1.0	0.0	0.2	0.4	1.0	0.0	1.0775862	1.1	20250	0.56086123	0.5608959	-0.53690135	0.003710393	0.05	633.1860504150391
82	0.30769232	0.4615385	1.0	0.0	0.4	0.48989797	1.0	0.0	1.0683761	1.0	20500	0.56444186	0.5644028	-0.53766924	0.0027507201	0.05	641.7205204963684
83	0.25	0.4330127	1.0	0.0	0.2	0.4	1.0	0.0	1.0775862	1.1	20750	0.56369215	0.56368726	-0.5467197	0.0038798165	0.05	649.1574091911316
84	0.20175439	0.40130976	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0964912	1.15	21000	0.5648344	0.56487334	-0.5369535	0.002531523	0.05	657.6703677177429
85	0.2584746	0.43779615	1.0	0.0	0.2	0.4	1.0	0.0	1.059322	1.05	21250	0.5729501	0.57295495	-0.5512865	0.003530568	0.05	665.0659263134003
86	0.22608696	0.41829607	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0826087	1.2	21500	0.5584321	0.55844617	-0.5347509	0.0039735953	0.05	673.6334114074707
87	0.32173914	0.4671435	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0913043	1.1	21750	0.5636129	0.56354815	-0.5262765	0.0032416626	0.05	680.9675958156586
88	0.28695652	0.45234108	1.0	0.0	0.35	0.4769696	1.0	0.0	1.0826087	1.1	22000	0.57070917	0.5707071	-0.54308075	0.0035805583	0.05	689.3691930770874
89	0.2489083	0.4323806	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0960698	1.1	22250	0.55908513	0.55909365	-0.5388361	0.0022236612	0.05	696.6093003749847
